name,name_kr,bre_name,country,category,style,abv,image
Dark Night,다크나이트,Weizenhaus,KR,PORTER,Porter,5.5,darknight.png
Dancing Cow Milk Stout,흥맥주,The Booth Brewing,KR,STOUT,Milk Stout,5,dcms.jpg
DCT Amber Ale,DCT 앰버에일,The Booth Brewing,KR,ALE,Amber Ale,5.3,dct.jpg
Devil's Pale Ale,,Devil's Door Brewery,KR,ALE,American Pale Ale (APA),4.6,devilpa.jpg
Devil's Stout,,Devil's Door Brewery,KR,STOUT,English Stout,5,devilst.png
Ark Dong Bing Go,동빙고,Korea Craft Brewery,KR,ETC,German Bock,8.5,dong.jpeg
Driftwood Porter,,Galmegi Brewing,KR,PORTER,American Porter,5.5,driftwood.jpeg
Dry Finish D,드라이 피니쉬 디,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,5,dryfinishd.jpg
Da Wheat,,Brew One,KR,STOUT,American Stout,6,dw.jpg
Single Hop Series: Equinox Dry-Hopped Pale Ale,,Made In PONG DANG,KR,ALE,American Pale Ale (APA),4.6,equinox.jpg
Eureka Seoul Idaho 7 Hop Ale,유레카서울 아이다호7 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,es.jpg
Eureka Seoul Centennial Hop Ale,유레카서울 센테니얼 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,esc.jpg
Eureka Seoul Loral Hop Ale,유레카서울 로랄 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,eslh.jpg
Exfeel S,익스펠 에스,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,4.1,exfeels.jpg
Espresso Vanilla Stout,에스프레소 바닐라 스타우트,Galmegi Brewing,KR,STOUT,English Stout,5.5,expresso.png
Espresso Porter,,PYRUS Taproom & Bistro,KR,PORTER,American Porter,4.5,expressopo.jpg
Espresso Stout,,Made In PONG DANG,KR,STOUT,American Stout,6.5,expressostout.jpg
Extra Special Ale,,The Hand and Malt Brewing Company,KR,ETC,English Extra Special / Strong Bitter (ESB),5.7,extraspecial.jpg
Feel me,필미,Weizenhaus,KR,PILSNER,Pilsner,4.5,feelme.png
Fun Follower Witbier,재미주의자 윗비어,The Booth Brewing,KR,ETC,Belgian Witbier,4.9,ffw.jpg
FilGood,필굿,"Oriental Brewery Co., Ltd",KR,ETC,etc,4.5,filgood.jpg
FiLite,필라이트,Hite Brewery Company LTD,KR,ETC,Japanese Happoshu,4.5,filte.jpg
Fitz Super Clear,피츠 수퍼클리어,Lotte Liquor,KR,LAGER,European Pale Lager,4.5,fitz.jpg
First Love,첫사랑,Amazing Brewing Company,KR,ALE,New England IPA,6.5,fl.png
Flower Power Pilsner,,The Hand and Malt Brewing Company,KR,PILSNER,German Pilsner,5.2,flower.jpeg
